casesDif,vacDif,FIPS,location,POPESTIMATE2019,Median_Household_Income_2019
148.0,0.16499999999999998,5113,Arkansas-Polk,19944,"39,722"
433.0,0.256,5115,Arkansas-Pope,64145,"47,519"
45.0,0.203,5117,Arkansas-Prairie,8093,"46,205"
3899.0,0.288,5119,Arkansas-Pulaski,392318,"52,684"
209.0,0.133,5121,Arkansas-Randolph,18161,"42,875"
1262.0,0.23399999999999999,5125,Arkansas-Saline,122550,"66,944"
60.0,0.195,5127,Arkansas-Scott,10217,"38,065"
103.0,0.195,5129,Arkansas-Searcy,7862,"34,712"
1011.0,0.187,5131,Arkansas-Sebastian,127688,"48,945"
131.0,0.20700000000000002,5133,Arkansas-Sevier,16972,"43,493"
140.0,0.199,5135,Arkansas-Sharp,17276,"37,591"
149.0,0.202,5137,Arkansas-Stone,12614,"36,930"
404.0,0.249,5139,Arkansas-Union,38677,"46,602"
2272.0,0.28300000000000003,5143,Arkansas-Washington,239392,"52,158"
829.0,0.20200000000000004,5145,Arkansas-White,78621,"46,388"
31.0,0.29200000000000004,5147,Arkansas-Woodruff,6431,"36,568"
107.0,0.22599999999999998,5149,Arkansas-Yell,21376,"44,469"
1033.0,0.354,4001,Arizona-Apache,71920,"35,386"
979.0,0.36200000000000004,4003,Arizona-Cochise,127248,"48,650"
1477.0,0.42600000000000005,4005,Arizona-Coconino,143967,"58,301"
698.0,0.341,4007,Arizona-Gila,54077,"45,980"
303.0,0.36400000000000005,4009,Arizona-Graham,38890,"50,685"
18.0,0.172,4011,Arizona-Greenlee,9467,"68,066"
49391.0,0.33099999999999996,4013,Arizona-Maricopa,4492261,"68,634"
2591.0,0.255,4015,Arizona-Mohave,213846,"49,712"
1068.0,0.311,4017,Arizona-Navajo,111037,"40,676"
8182.0,0.419,4019,Arizona-Pima,1049261,"56,150"
7808.0,0.308,4021,Arizona-Pinal,461640,"62,067"
2098.0,0.283,4025,Arizona-Yavapai,236062,"54,242"
881.0,0.41600000000000004,4027,Arizona-Yuma,214182,"47,024"
,0.553,6001,California-Alameda,1668412,"107,589"
,0.41200000000000003,6003,California-Alpine,1113,"58,112"
,0.32599999999999996,6005,California-Amador,39693,"62,640"
,0.28900000000000003,6007,California-Butte,218726,"58,394"
,0.33699999999999997,6009,California-Calaveras,46119,"68,248"
,0.372,6011,California-Colusa,21474,"59,048"
,0.347,6019,California-Fresno,997847,"56,926"
,0.308,6021,California-Glenn,28445,"55,682"
,0.394,6023,California-Humboldt,135839,"51,134"
,0.49799999999999994,6025,California-Imperial,180439,"48,102"
,0.371,6027,California-Inyo,17993,"59,605"
,0.289,6029,California-Kern,898898,"53,245"
,0.239,6031,California-Kings,152727,"57,297"
,0.30899999999999994,6033,California-Lake,64463,"46,897"
,0.14600000000000002,6035,California-Lassen,30694,"53,613"
,0.313,6039,California-Madera,156717,"61,105"
,0.6050000000000001,6041,California-Marin,259085,"112,069"
,0.274,6043,California-Mariposa,17117,"52,760"
,0.387,6045,California-Mendocino,86932,"52,309"
,0.28700000000000003,6047,California-Merced,277114,"59,733"
,0.198,6049,California-Modoc,8866,"45,311"
,0.29100000000000004,6051,California-Mono,14450,"66,226"
,0.461,6053,California-Monterey,433380,"76,509"
,0.476,6055,California-Napa,137678,"90,230"
,0.40900000000000003,6057,California-Nevada,99648,"69,550"
,0.45300000000000007,6059,California-Orange,3170851,"95,761"
,0.386,6061,California-Placer,398918,"97,688"
,0.378,6063,California-Plumas,19052,"59,376"
,0.34099999999999997,6065,California-Riverside,2465569,"72,905"
,0.40700000000000003,6067,California-Sacramento,1551660,"71,891"
,0.247,6089,California-Shasta,179645,"61,464"
,0.311,6091,California-Sierra,2959,"55,862"
,0.269,6093,California-Siskiyou,43663,"45,954"
,0.39799999999999996,6095,California-Solano,447434,"85,704"
,0.509,6097,California-Sonoma,492318,"87,084"
,0.319,6099,California-Stanislaus,549761,"62,761"
,0.33399999999999996,6101,California-Sutter,96910,"60,910"
,0.22300000000000003,6103,California-Tehama,65186,"51,672"
,0.33199999999999996,6105,California-Trinity,12337,"43,881"
,0.291,6107,California-Tulare,465751,"56,776"
,0.32099999999999995,6109,California-Tuolumne,54290,"64,729"
,0.467,6111,California-Ventura,844203,"91,446"
,0.44900000000000007,6113,California-Yolo,220019,"70,951"
,0.264,6115,California-Yuba,78549,"56,607"
12655.0,0.10500000000000001,8001,Colorado-Adams,516575,"75,341"
440.0,0.217,8003,Colorado-Alamosa,16200,"38,213"
14577.0,0.096,8005,Colorado-Arapahoe,656051,"82,364"
392.0,0.229,8007,Colorado-Archuleta,13928,"57,604"
51.0,,8009,Colorado-Baca,3620,"38,945"
66.0,0.074,8011,Colorado-Bent,5578,"35,764"
5134.0,0.094,8013,Colorado-Boulder,326020,"88,341"
1243.0,0.407,8014,Colorado-Broomfield,70617,"106,892"
319.0,0.23500000000000001,8015,Colorado-Chaffee,20319,"60,331"
5.0,,8017,Colorado-Cheyenne,1824,"52,337"
296.0,,8021,Colorado-Conejos,8169,"40,944"
64.0,,8023,Colorado-Costilla,3872,"34,731"
165.0,,8025,Colorado-Crowley,5989,"38,224"
63.0,,8027,Colorado-Custer,5119,"57,381"
470.0,0.186,8029,Colorado-Delta,31021,"51,525"
14613.0,0.094,8031,Colorado-Denver,725508,"75,456"
62.0,,8033,Colorado-Dolores,2042,"50,232"
9282.0,0.097,8035,Colorado-Douglas,351842,"123,697"
1272.0,0.364,8037,Colorado-Eagle,55183,"89,268"
598.0,0.18500000000000003,8039,Colorado-Elbert,26707,"101,733"
1080.0,0.16999999999999998,8043,Colorado-Fremont,48009,"52,239"
1082.0,0.26,8045,Colorado-Garfield,60031,"73,788"
117.0,,8047,Colorado-Gilpin,6232,"74,806"
235.0,0.324,8049,Colorado-Grand,15748,"71,029"
194.0,,8051,Colorado-Gunnison,17480,"60,408"
3.0,,8053,Colorado-Hinsdale,789,"61,391"
126.0,,8055,Colorado-Huerfano,6868,"39,955"
16.0,,8057,Colorado-Jackson,1397,"53,577"
11627.0,0.101,8059,Colorado-Jefferson,582800,"89,696"
4.0,,8061,Colorado-Kiowa,1417,"46,901"
176.0,,8065,Colorado-Lake,8072,"56,850"
7575.0,0.074,8069,Colorado-Larimer,357241,"75,332"
37.0,,8073,Colorado-Lincoln,5694,"43,077"
321.0,0.13,8075,Colorado-Logan,22409,"58,429"
3891.0,0.048,8077,Colorado-Mesa,154552,"60,249"
32.0,,8079,Colorado-Mineral,756,"63,015"
359.0,,8081,Colorado-Moffat,13209,"63,232"
360.0,0.228,8083,Colorado-Montezuma,26369,"52,641"
494.0,0.16499999999999998,8085,Colorado-Montrose,42791,"50,707"
320.0,0.213,8087,Colorado-Morgan,28938,"57,535"
222.0,0.166,8089,Colorado-Otero,18243,"43,723"
36.0,,8091,Colorado-Ouray,5005,"72,836"
281.0,0.21799999999999997,8093,Colorado-Park,18881,"77,221"
63.0,,8095,Colorado-Phillips,4359,"53,432"
604.0,0.361,8097,Colorado-Pitkin,17902,"92,820"
118.0,0.155,8099,Colorado-Prowers,12106,"47,051"
4553.0,0.061,8101,Colorado-Pueblo,168409,"51,075"
400.0,0.388,8107,Colorado-Routt,25579,"87,691"
136.0,,8109,Colorado-Saguache,6829,"37,004"
45.0,0.12899999999999998,8115,Colorado-Sedgwick,2274,"42,808"
735.0,,8117,Colorado-Summit,30851,"86,570"
646.0,0.19,8119,Colorado-Teller,25408,"70,599"
86.0,,8121,Colorado-Washington,4869,"53,263"
7938.0,0.07,8123,Colorado-Weld,324703,"78,160"
257.0,,8125,Colorado-Yuma,10020,"52,841"
19504.0,0.5609999999999999,9001,Connecticut-Fairfield,944388,"96,966"
13985.0,0.5269999999999999,9003,Connecticut-Hartford,891349,"75,336"
3489.0,0.5569999999999999,9005,Connecticut-Litchfield,180396,"81,015"
2375.0,0.6000000000000001,9007,Connecticut-Middlesex,162538,"81,721"
1793.0,0.501,9013,Connecticut-Tolland,150865,"90,181"
1726.0,0.44,9015,Connecticut-Windham,116884,"63,309"
3823.0,0.316,10001,Delaware-Kent,181492,"58,804"
3516.0,0.422,10005,Delaware-Sussex,235235,"64,839"
3054.0,0.358,12001,Florida-Alachua,269489,"49,880"
307.0,0.137,12003,Florida-Baker,29288,"60,454"
1293.0,0.266,12005,Florida-Bay,173895,"58,376"
212.0,0.20500000000000002,12007,Florida-Bradford,28348,"47,509"
9137.0,0.385,12009,Florida-Brevard,601024,"57,582"
50611.0,0.40399999999999997,12011,Florida-Broward,1955475,"61,429"
112.0,0.135,12013,Florida-Calhoun,14140,"41,399"
2727.0,0.445,12015,Florida-Charlotte,189669,"54,756"
1719.0,0.355,12017,Florida-Citrus,150153,"49,762"
2911.0,0.241,12019,Florida-Clay,219014,"75,776"
6019.0,0.442,12021,Florida-Collier,385917,"76,415"
632.0,0.192,12023,Florida-Columbia,71766,"47,087"
145.0,0.155,12029,Florida-Dixie,16887,"39,793"
12798.0,0.304,12031,Florida-Duval,959853,"58,339"
-574.0,0.285,12033,Florida-Escambia,319379,"52,822"
1569.0,0.40399999999999997,12035,Florida-Flagler,115481,"62,831"
54.0,0.21899999999999997,12037,Florida-Franklin,12113,"47,504"
381.0,0.28400000000000003,12039,Florida-Gadsden,45670,"42,975"
234.0,0.15400000000000003,12041,Florida-Gilchrist,18572,"46,171"
89.0,0.181,12043,Florida-Glades,13914,"45,412"
110.0,0.22499999999999998,12045,Florida-Gulf,13498,"53,228"
65.0,0.16699999999999998,12047,Florida-Hamilton,14470,"39,241"
557.0,0.195,12049,Florida-Hardee,26806,"41,430"
610.0,0.259,12051,Florida-Hendry,42069,"45,107"
3545.0,0.32,12053,Florida-Hernando,194290,"50,705"
1524.0,0.317,12055,Florida-Highlands,105890,"45,723"
33664.0,0.34900000000000003,12057,Florida-Hillsborough,1476431,"61,133"
99.0,0.13999999999999999,12059,Florida-Holmes,19661,"38,874"
484.0,0.189,12063,Florida-Jackson,46257,"40,543"
